Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
emilio carranza,mx,19.9711,-96.6114,73.29,84.0,0.0,4.23
santa isabel do rio negro,br,-0.4139,-65.0192,75.65,90.0,15.0,1.95
college,us,64.8569,-147.8028,-24.34,95.0,100.0,3.02
aswan,eg,24.0934,32.907,53.83,63.0,33.0,6.89
constantine,dz,36.365,6.6147,38.61,76.0,1.0,4.25
fairbanks,us,64.8378,-147.7164,-23.49,96.0,100.0,2.98
verkhnya syrovatka,ua,50.829,34.9586,30.72,89.0,86.0,5.06
aksu,cn,41.1231,80.2644,24.49,61.0,97.0,1.1
vostok,ru,46.4856,135.8833,27.48,74.0,5.0,1.77
portales,us,34.1862,-103.3344,46.24,54.0,38.0,18.63
tabou,ci,4.423,-7.3528,76.64,90.0,16.0,1.52
ugoofaaru,mv,5.6667,73.0,81.12,70.0,13.0,8.46
sentyabrskiy,ru,,,,,,
lumphat,kh,13.4878,106.9816,86.38,48.0,0.0,3.47
halberstadt,de,51.9,11.05,43.68,84.0,100.0,11.14
flinders,au,-34.5833,150.8552,81.64,89.0,100.0,9.01
uporovo,ru,56.3109,66.2693,-7.76,99.0,90.0,5.97
arlit,ne,18.7369,7.3853,64.81,10.0,8.0,5.55
poronaysk,ru,49.2167,143.1167,14.81,76.0,51.0,3.78
yoichi,jp,43.2039,140.7703,27.46,93.0,100.0,5.08
khed brahma,in,24.0333,73.05,63.36,51.0,73.0,6.22
priiskovyy,ru,51.9333,116.6333,0.05,92.0,9.0,2.06
maniitsoq,gl,65.4167,-52.9,8.35,89.0,100.0,16.06
sarkand,kz,45.41,79.9186,21.06,92.0,96.0,2.3
rungata,ki,,,,,,
robertson,za,-33.8034,19.8854,59.29,73.0,49.0,0.74
fairfield,us,41.2668,-73.3162,34.75,87.0,0.0,5.14
pisco,pe,-13.7,-76.2167,70.12,90.0,85.0,2.62
seminole,us,28.7086,-81.2081,61.66,60.0,97.0,5.03
show low,us,34.2542,-110.0298,30.63,51.0,0.0,6.76
siguiri,gn,11.6667,-9.5,67.93,11.0,89.0,2.68
rokytne,ua,51.2796,27.214,30.88,84.0,71.0,4.72
broome,au,-17.9667,122.2333,88.11,85.0,44.0,11.74
liberal,us,37.0431,-100.921,41.94,71.0,100.0,19.39
grand gaube,mu,-20.0064,57.6608,71.65,68.0,4.0,7.7
astoria,us,46.1879,-123.8313,51.22,93.0,100.0,34.58
arroyo,us,41.3909,-78.8803,29.64,93.0,100.0,8.68
killarney,ca,49.1833,-99.6636,4.06,91.0,50.0,2.21
luba,gq,3.4568,8.5547,77.94,73.0,0.0,2.33
toora-khem,ru,52.4675,96.11,3.22,93.0,0.0,1.41
fomboni,km,-12.28,43.7425,82.85,72.0,33.0,10.02
korem,et,12.5058,39.5228,51.1,93.0,73.0,2.82
motygino,ru,58.1831,94.7592,14.79,90.0,100.0,5.39
nisia floresta,br,-6.0911,-35.2086,81.34,81.0,80.0,14.36
port macquarie,au,-31.4333,152.9167,87.35,73.0,0.0,20.18
poso,id,-1.3959,120.7524,77.58,73.0,5.0,4.23
rio grande,br,-32.035,-52.0986,65.53,76.0,3.0,14.45
ca mau,vn,9.1769,105.15,86.77,49.0,99.0,7.16
marienburg,sr,5.8469,-55.0216,77.95,85.0,100.0,12.48
vasilsursk,ru,56.1275,46.0072,0.09,96.0,97.0,1.12
neiafu,to,-18.65,-173.9833,84.67,71.0,0.0,3.85
sombrio,br,-29.1139,-49.6167,71.22,93.0,47.0,5.82
marhaura,in,25.9667,84.8667,62.08,62.0,0.0,4.12
marsh harbour,bs,26.5412,-77.0636,72.16,70.0,100.0,2.73
manokwari,id,-0.8667,134.0833,81.75,75.0,13.0,7.96
munai,ph,7.9758,124.0636,84.78,58.0,98.0,4.29
bang saphan,th,11.2126,99.5117,79.23,57.0,100.0,4.05
syracuse,us,43.0481,-76.1474,30.27,96.0,100.0,9.82
muli,mv,2.9167,73.5667,81.12,72.0,71.0,11.39
kargopol,ru,61.5071,38.9456,8.38,81.0,100.0,5.32
pundaguitan,ph,6.3711,126.1689,82.94,76.0,6.0,7.85
brae,gb,60.3964,-1.353,40.03,71.0,65.0,17.67
jati,id,-6.5153,106.1958,93.09,64.0,51.0,2.62
acarau,br,-2.8856,-40.12,76.59,90.0,100.0,3.44
hobyo,so,5.3505,48.5268,76.6,75.0,100.0,19.69
ambon,id,-3.6954,128.1814,90.7,73.0,0.0,11.74
portland,au,-38.3333,141.6,62.47,84.0,54.0,16.42
ous,ru,60.9058,61.5186,-3.71,95.0,99.0,7.72
batagay-alyta,ru,67.8006,130.4114,-21.41,31.0,4.0,4.16
astana,kz,51.1801,71.446,21.76,93.0,100.0,18.72
santarem,br,-2.4431,-54.7083,76.86,74.0,24.0,6.2
ishinomaki,jp,38.4167,141.3,37.96,75.0,100.0,24.29
klyuchevskiy,ru,53.5317,119.4519,6.93,80.0,0.0,1.16
jatibarang,id,-6.4747,108.3153,84.61,72.0,96.0,3.18
chapais,ca,49.7834,-74.8492,4.82,93.0,0.0,5.08
petropavlovsk-kamchatskiy,ru,53.0452,158.6483,32.34,77.0,100.0,7.2
san quintin,mx,30.4833,-115.95,58.91,79.0,0.0,6.46
carmo do rio claro,br,-20.9719,-46.1189,67.35,90.0,0.0,1.7
caravelas,br,-17.7125,-39.2481,80.28,88.0,100.0,14.12
san isidro,ph,15.0199,120.8175,87.67,54.0,0.0,3.18
lamar,us,33.6668,-95.5836,46.02,84.0,15.0,7.27
olafsvik,is,64.8945,-23.7142,33.69,72.0,100.0,11.95
pyapon,mm,16.2833,95.6833,69.06,41.0,0.0,7.31
felipe carrillo puerto,mx,19.5833,-88.05,70.65,88.0,55.0,3.33
harper,lr,4.375,-7.7169,76.64,90.0,16.0,1.52
jaisalmer,in,26.9147,70.9181,56.26,77.0,1.0,7.99
lazurne,ua,46.084,32.5295,39.78,91.0,100.0,8.52
horsham,au,-36.7167,142.2,85.5,20.0,67.0,7.27
catuday,ph,16.2923,119.8062,76.6,74.0,6.0,4.43
springbok,za,-29.6643,17.8865,56.73,31.0,50.0,3.22
jarjis,tn,,,,,,
colorado,br,-22.8375,-51.9731,76.75,79.0,67.0,3.13
hangu,cn,39.2489,117.7892,32.23,69.0,100.0,9.22
the valley,ai,18.217,-63.0578,77.79,76.0,53.0,6.85
falam,mm,22.9167,93.6833,57.51,35.0,0.0,3.02
araouane,ml,18.9048,-3.5265,71.08,11.0,21.0,8.75
kangaatsiaq,gl,68.3065,-53.4641,4.75,93.0,100.0,8.19
belem de sao francisco,br,-8.7539,-38.9658,76.17,80.0,90.0,16.2
altay,cn,47.8667,88.1167,13.62,82.0,100.0,1.86
tura,ru,64.2833,100.25,-2.94,93.0,100.0,4.65
sinnamary,gf,5.3833,-52.95,79.99,81.0,98.0,15.14
mahibadhoo,mv,3.7833,72.9667,80.78,74.0,0.0,9.48
hargeysa,so,9.56,44.065,57.61,80.0,37.0,18.34
kizema,ru,61.113,44.8302,-9.71,98.0,4.0,2.64
rabat,ma,33.9911,-6.8401,49.75,69.0,0.0,9.73
rio claro,tt,10.3,-61.1833,77.74,85.0,81.0,13.29
kangasala,fi,61.5,24.0833,31.78,98.0,100.0,7.58
joshimath,in,30.5667,79.5667,31.06,54.0,97.0,4.07
ye,mm,,,,,,
nuuk,gl,64.1835,-51.7216,11.44,68.0,100.0,8.97
saint-francois,gp,16.2526,-61.2741,75.49,70.0,0.0,8.57
itupiranga,br,-5.1347,-49.3267,77.27,90.0,100.0,0.56
mega,et,4.05,38.3,67.86,74.0,96.0,14.83
bilibino,ru,68.0546,166.4372,0.84,85.0,100.0,2.64
tahoua,ne,14.8888,5.2692,62.6,9.0,2.0,10.27
teruel,es,40.6667,-0.6667,43.23,95.0,100.0,25.01
turukhansk,ru,65.8167,87.9833,13.17,91.0,100.0,15.5
trat,th,12.5,102.5,87.69,56.0,20.0,7.14
smoky lake,ca,54.1169,-112.4686,18.97,83.0,100.0,4.12
dukat,ru,62.55,155.55,7.05,97.0,100.0,4.68
burkhala,ru,,,,,,
sabzevar,ir,36.2126,57.6819,32.29,50.0,0.0,4.45
kaitong,cn,44.8135,123.15,9.19,92.0,100.0,11.65
palmares do sul,br,-30.2578,-50.5097,70.23,83.0,15.0,6.53
fort-shevchenko,kz,44.5086,50.263,34.38,90.0,41.0,3.53
dakar,sn,14.6937,-17.4441,71.42,67.0,0.0,18.84
puerto colombia,co,10.9878,-74.9547,80.49,83.0,0.0,15.73
nome,us,64.5011,-165.4064,-14.12,85.0,0.0,8.59
hofn,is,64.2539,-15.2082,38.52,69.0,0.0,9.15
nsanje,mw,-16.92,35.262,72.27,98.0,98.0,3.4
byron bay,au,-28.65,153.6167,85.71,53.0,43.0,7.65
rio gallegos,ar,-51.6226,-69.2181,48.65,68.0,92.0,19.22
adrar,dz,25.75,-1.0,57.0,29.0,39.0,11.74
akyab,mm,20.15,92.9,64.04,58.0,0.0,6.76
laranja da terra,br,-19.8989,-41.0567,68.18,99.0,100.0,1.74
bad salzdetfurth,de,52.0578,10.0058,43.39,88.0,100.0,16.28
vila,vu,,,,,,
tawnat,ma,,,,,,
belyy yar,ru,53.6039,91.3903,7.52,86.0,100.0,2.89
yeroham,il,30.9872,34.9314,43.72,53.0,100.0,1.1
omboue,ga,-1.5746,9.2618,75.36,95.0,0.0,0.49
lufilufi,ws,-13.8745,-171.5986,81.01,72.0,100.0,3.11
skovorodino,ru,53.9833,123.9167,3.22,88.0,90.0,3.02
buraydah,sa,26.326,43.975,38.03,40.0,0.0,4.63
kushiro,jp,42.975,144.3747,25.86,57.0,32.0,0.67
avera,pf,,,,,,
high prairie,ca,55.4334,-116.4858,24.69,85.0,25.0,5.59
benito juarez,mx,19.385,-99.165,64.27,31.0,0.0,5.79
ziro,in,27.6333,93.8333,51.08,60.0,0.0,1.66
bang lamung,th,13.047,100.9289,87.55,69.0,67.0,11.18
sao joao da barra,br,-21.6403,-41.0511,76.26,90.0,100.0,13.98
mutsamudu,km,,,,,,
lujan,ar,-34.5703,-59.105,65.23,52.0,0.0,9.84
taburi,ph,,,,,,
coos bay,us,43.3665,-124.2179,52.23,97.0,100.0,6.15
diffa,ne,13.3154,12.6113,60.19,15.0,5.0,10.09
sabang,id,5.8933,95.3214,81.34,74.0,78.0,13.87
leland,no,66.0638,12.9458,12.15,90.0,100.0,17.83
sept-iles,ca,50.2001,-66.3821,10.09,76.0,99.0,15.95
playas,ec,-2.6333,-80.3833,76.24,83.0,68.0,6.38
san mariano,ph,7.5,126.0,87.42,78.0,3.0,4.03
temaraia,ki,,,,,,
itacoatiara,br,-3.1431,-58.4442,74.35,97.0,39.0,2.46
louisbourg,ca,,,,,,
artyk,ru,,,,,,
anshun,cn,26.25,105.9333,35.76,91.0,100.0,5.48
tual,id,-5.6667,132.75,84.38,75.0,69.0,15.79
kardla,ee,58.9978,22.7492,37.67,92.0,100.0,16.73
kirensk,ru,57.7853,108.1119,4.84,95.0,49.0,2.01
malartic,ca,48.1335,-78.1328,15.6,93.0,100.0,7.18
saint albans,us,38.3857,-81.8362,37.2,89.0,85.0,4.45
simpang,id,-1.2667,104.0833,87.96,65.0,72.0,2.37
jatai,br,-17.8814,-51.7144,68.09,91.0,0.0,5.35
vazhiny,ru,60.9644,34.0222,17.11,89.0,100.0,8.59
baturaja,id,-4.1333,104.1667,82.92,76.0,99.0,2.1
miri,my,4.4148,114.0089,84.51,76.0,23.0,4.27
aklavik,ca,68.2191,-135.0107,-22.31,82.0,100.0,6.15
sembe,cg,1.6481,14.5806,67.96,38.0,97.0,2.66
fuyang,cn,32.9,115.8167,42.37,58.0,0.0,6.76
peyima,sl,8.7,-11.0333,65.86,64.0,100.0,0.87
san-pedro,ci,4.7485,-6.6363,82.04,80.0,41.0,11.74
palmer,us,42.1584,-72.3287,33.98,88.0,0.0,4.32
carballo,es,43.213,-8.691,48.16,99.0,100.0,2.57
westpunt,an,,,,,,
palabuhanratu,id,,,,,,
bichura,ru,50.5881,107.6022,8.82,86.0,0.0,1.99
yenagoa,ng,4.9247,6.2642,74.37,89.0,33.0,3.13
mbanza-ngungu,cd,-5.25,14.8667,70.38,90.0,100.0,2.19
gomel,by,52.4345,30.9754,30.33,95.0,75.0,4.85
kamaishi,jp,39.2667,141.8833,36.5,63.0,100.0,11.92
yanam,in,16.7333,82.2167,81.25,69.0,100.0,5.28
inirida,co,3.8653,-67.9239,77.23,83.0,64.0,1.77
japura,br,,,,,,
derzhavinsk,kz,51.1,66.3167,24.15,96.0,100.0,9.57
trairi,br,-3.2778,-39.2689,75.29,91.0,68.0,0.4
ulladulla,au,-35.35,150.4667,81.09,88.0,100.0,12.68
pangnirtung,ca,66.1451,-65.7125,-18.51,59.0,94.0,3.0
namatanai,pg,-3.6667,152.4333,83.89,77.0,21.0,14.7
sao filipe,cv,14.8961,-24.4956,74.19,55.0,73.0,17.29
urfa,tr,,,,,,
nivala,fi,63.9167,25.0,18.14,91.0,100.0,10.04
pangai,to,-19.8,-174.35,84.16,69.0,48.0,4.25
